,capacity_mw,latitude,longitude,commissioning_year,estimated_generation_gwh
count,27438.0,27438.0,27438.0,27438.0,27438.0
mean,181.86406754417231,32.05895501494278,-14.945077735257671,1999.0440286811108,808.9976589966676
std,518.6262900667674,24.102691356833265,76.60806345369853,17.742658871223338,2691.914274906438
min,1.0,-53.7862,-171.7124,1896.0,0.0
25%,4.9,28.82985,-79.84145,2003.0,8.155218851917702
50%,18.5,40.0287,-5.0724,2004.0,44.83691015291724
75%,95.0,46.64815,16.749724999999998,2005.0,294.1880141814062
max,22500.0,71.292,177.4833,2018.0,92268.76346604938
